才能名,link,発揮効果,発揮条件,発揮対象,発揮確率
愛々傘★,https://dabimas.jp/kouryaku/abilities/3126941052.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増え、 根性がつく ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 2400～2500m 中山競馬場、ロンシャン競馬場、 メイダン競馬場、シャティン競馬場 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
愛花爛漫★,https://dabimas.jp/kouryaku/abilities/2763145523.html,・効果1 常時、脚が少し速くなり、 スタミナが少し増える ・効果2 ゴールまで300m以内で、 短い時間、脚が少し速くなり、 競り合いで疲れづらくなる ・効果3（効果2終了時） 短い時間、脚が非常に速くなる,・1200、2000、2500m ・中山競馬場、東京競馬場、 中京競馬場,・効果1 自分 ・効果2 自分 ・効果3 自分,90%
i★どる,https://dabimas.jp/kouryaku/abilities/3452801776.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで250m以内で、 短い時間、脚が非常に速くなり、 競り合いで疲れづらくなる,・条件1 天候が晴、曇 馬場状態が良、稍重 京都競馬場 ・条件2 8番人気以上の時 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
愛のムチ,https://dabimas.jp/kouryaku/abilities/2214769368.html,・鞭を入れた時、 短い時間、脚が少し速くなり、 競り合いで疲れづらくなる,・1800～2500m ・中山競馬場、メイダン競馬場 ・芝レース,・自分,100%
阿吽之息,https://dabimas.jp/kouryaku/abilities/4762591837.html,・鞭を入れた時に、 長い時間、脚が速くなる,・騎手が池添騎手、吉田隼騎手,・自分,100%
青色ショコラ,https://dabimas.jp/kouryaku/abilities/6352124270.html,・最後の直線で、 短い時間、脚が少し速くなる,・1200～1800m ・京都競馬場、中京競馬場,・自分,100%
青色マカロン,https://dabimas.jp/kouryaku/abilities/2764143533.html,・常時、脚が少し速くなり、 根性がつき、気性が穏やかになる,・1200～2400m ・阪神競馬場、中京競馬場、 シャティン競馬場 ・コンディションが好調以上,・自分,100%
青時雨,https://dabimas.jp/kouryaku/abilities/5744023613.html,・ゴールまで250m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・1200、2400m ・中山競馬場、東京競馬場、 中京競馬場 ・騎乗指示：逃げ、先行,・自分,100%
青空ビーチ★,https://dabimas.jp/kouryaku/abilities/3452601796.html,・ゴールまで300m以内で、 やや長い時間、脚が速くなる,・天候が晴 ・ダートレース ・GI/JpnIレース以外,・自分,100%
茜空熱気球★,https://dabimas.jp/kouryaku/abilities/2691434957.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで180m以内で、 短い時間、脚が非常に速くなる,・条件1 天候が晴、雪 1600～2000m 東京競馬場、京都競馬場、 中京競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
秋風,https://dabimas.jp/kouryaku/abilities/2614537218.html,・常時、スタミナが増える,・天皇賞(秋),・自分,100%
秋恋応援★,https://dabimas.jp/kouryaku/abilities/8162546735.html,・効果1（条件1を満たすと発揮） 常時、気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなる,・条件1 2000～2410m 阪神競馬場、メイダン競馬場、 シャティン競馬場 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
秋月,https://dabimas.jp/kouryaku/abilities/7162546736.html,・常時、脚が少し速くなり、 気性が穏やかになる,・天皇賞(秋),・自分,100%
阿形,https://dabimas.jp/kouryaku/abilities/4172546837.html,・ゴールまで300m以内で 短い時間、脚が少し速くなる,・天候が晴、曇 ・1800～2200m ・騎乗指示：逃げ、先行,・自分,50%〜100%
朝凪夕凪！,https://dabimas.jp/kouryaku/abilities/4614531267.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなる,・条件1 2000～2200m 阪神競馬場、京都競馬場、 シャティン競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
足枷,https://dabimas.jp/kouryaku/abilities/6468539712.html,・ゴールまで400m以内で、やや長い時間 対象を疲れやすくする,・天皇賞(春) ・6番手以下にいる時,・自分より順位の高い相手へ ・自分以外の相手へ ・騎乗指示：差し ・相手競走馬3頭,30%〜50%
足纏,https://dabimas.jp/kouryaku/abilities/2867141513.html,・ゴールまで400m以内で、やや長い時間 対象を疲れやすくする,・ＮＨＫマイルカップ ・6番手以下にいる時,・自分より順位の高い相手へ ・自分以外の相手へ ・騎乗指示：先行 ・相手競走馬3頭,30%〜50%
徒花,https://dabimas.jp/kouryaku/abilities/9122546738.html,・最後の直線で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・馬場状態が良、稍重 ・1200～2200m ・中山競馬場、京都競馬場、 メイダン競馬場,・自分,50%〜100%
圧巻,https://dabimas.jp/kouryaku/abilities/4218619513.html,・ゴールまで500m以内で、 長い時間経過後、 短い時間、脚が少し速くなる,・2000～2400m ・東京競馬場、阪神競馬場 ・年齢が4歳以上,・自分,100%
圧屈,https://dabimas.jp/kouryaku/abilities/6614530248.html,・ゴールまで450m以内で、やや長い時間 対象を疲れやすくする,・日本ダービー ・6番手以下にいる時,・自分より順位の高い相手へ ・自分以外の相手へ ・騎乗指示：差し ・相手競走馬2頭,40%〜80%
熱々夜鍋！,https://dabimas.jp/kouryaku/abilities/4217664523.html,・ゴールまで300m以内で、 短い時間、脚が少し速くなる,・1200～2000m ・中山競馬場、東京競馬場、 阪神競馬場、京都競馬場,・自分,100%
Athena,https://dabimas.jp/kouryaku/abilities/7315428268.html,・常時、スタミナが少し増える,・馬場状態が良、稍重 ・2000～2400m ・コンディションが好調以上,・自分,60%〜100%
記念祭,https://dabimas.jp/kouryaku/abilities/3452291476.html,・最後の直線で、 やや長い時間、脚が少し速くなる,・天候が晴 ・1200～1600m ・中山競馬場、東京競馬場 ・芝レース ・騎乗指示：逃げ,・自分,100%
祝年息吹★,https://dabimas.jp/kouryaku/abilities/6429873915.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで400m以内で、 やや長い時間、脚が少し速くなり、 スタミナが少し増える ・効果3（効果2終了時） 短い時間、脚が非常に速くなる,・条件1 2000～2500m 中山競馬場、阪神競馬場 ・条件2 騎乗指示：差し、追込,・効果1 自分 ・効果2 自分 ・効果3 自分,100%
天山黒眼鏡,https://dabimas.jp/kouryaku/abilities/5612364675.html,・効果1 常時、スタミナが少し増え、 根性がつき、気性が穏やかになる ・効果2 ゴールまで600m以内で、 やや長い時間、脚が速くなる,・2000～2400m ・阪神競馬場、ロンシャン競馬場 ・コンディションが絶好調,・効果1 自分 ・効果2 自分,100%
天山黒眼鏡,https://dabimas.jp/kouryaku/abilities/1017643246.html,・効果1 常時、スタミナが少し増え、 根性がつき、気性が穏やかになる ・効果2 ゴールまで600m以内で、 やや長い時間、脚が速くなる,・2000～2400m ・阪神競馬場、ロンシャン競馬場 ・コンディションが絶好調,・効果1 自分 ・効果2 自分,100%
甘葛,https://dabimas.jp/kouryaku/abilities/5824123613.html,・最後の直線で、短い時間、 脚が少し速くなる,・馬場状態が良 ・1200～1800m ・コンディションが好調以上,・自分,100%
天の川鵲橋,https://dabimas.jp/kouryaku/abilities/3452701696.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで350m以内で、 長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 天候が晴 1600～2200m 阪神競馬場、福島競馬場、 京都競馬場 ・条件2 騎乗指示：追込,・効果1 自分 ・効果2 自分,100%
天野資産運用,https://dabimas.jp/kouryaku/abilities/3126143760.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつく ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなる,・条件1 2000～2500m 中山競馬場、東京競馬場、 新潟競馬場、福島競馬場、 ロンシャン競馬場 ・条件2 騎乗指示：追込,・効果1 自分 ・効果2 自分,100%
天満月,https://dabimas.jp/kouryaku/abilities/1192546739.html,・ゴールまで300m以内で、 やや長い時間、脚が速くなる,・馬場状態が良、稍重 ・2400m ・コンディションが好調以上,・自分,100%
